customer_id,anomaly_rule,sequence_pattern,explanation,timestamps,transaction_details,signal_strength,overall_severity
C1528834618,High-Value Account Drain,CASH_OUT,"Account C1528834618 was fully drained via CASH_OUT of 82,940.31. Previous balance: 3,017.87, new balance: 0. Complete account drainage through a high-value transaction is a strong fraud indicator.",1,"[step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]",3,high
C1528834618,Destination Balance Mismatch,CASH_OUT,"Destination C476800120 balance anomaly: expected 215,312.31 after receiving 82,940.31 but actual balance is 49,864.36 (difference: 165,447.95). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=CASH_OUT amount=82,940.31 from=C1528834618 to=C476800120]",1,high
C1533123860,Repeated High-Value Transactions to Same Destination,CASH_OUT -> TRANSFER -> TRANSFER,"3 high-value transactions (>10000) sent to destination C766572210. Total amount: 915,506.55. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C1533123860, C873175411, C1603696865. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",3,high
C1533123860,Extreme High-Value Transaction,CASH_OUT,"Single transaction of 136,872.92 exceeds 5x the high-value threshold (50,000). Type: CASH_OUT. From C1533123860 to C766572210. Extremely large transactions warrant immediate review.",1,"[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]",2,high
C1533123860,Transfer Followed by Cash-Out (Same Destination),CASH_OUT -> TRANSFER -> TRANSFER,"Destination account C766572210 received 2 TRANSFER(s) totaling 778,633.63 and 1 CASH_OUT(s) totaling 136,872.92. Sequence: CASH_OUT -> TRANSFER -> TRANSFER. This pattern suggests funds are being moved through an intermediary account and then cashed out.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",3,high
C1533123860,Rapid Burst to Same Destination,CASH_OUT -> TRANSFER -> TRANSFER,"3 transactions to destination C766572210 in a single time step (step 1). Total: 915,506.55. Types: CASH_OUT, TRANSFER, TRANSFER. Senders: C1533123860, C873175411, C1603696865. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",1,high
C1556867940,Repeated High-Value Transactions to Same Destination,CASH_OUT -> TRANSFER,"2 high-value transactions (>10000) sent to destination C1509514333. Total amount: 320,125.82. Pattern: HIGH_VALUE -> HIGH_VALUE. Senders: C768216420, C1556867940. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1","[step=1 type=CASH_OUT amount=110,414.71 from=C768216420 to=C1509514333]; [step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",2,high
C1556867940,Extreme High-Value Transaction,TRANSFER,"Single transaction of 209,711.11 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1556867940 to C1509514333. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",2,high
C1556867940,Transfer Followed by Cash-Out (Same Destination),CASH_OUT -> TRANSFER,"Destination account C1509514333 received 1 TRANSFER(s) totaling 209,711.11 and 1 CASH_OUT(s) totaling 110,414.71. Sequence: CASH_OUT -> TRANSFER. This pattern suggests funds are being moved through an intermediary account and then cashed out.","1, 1","[step=1 type=CASH_OUT amount=110,414.71 from=C768216420 to=C1509514333]; [step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",2,high
C1556867940,Zero-Balance Origin Transfer,TRANSFER,"Account C1556867940 initiated a TRANSFER of 209,711.11 with a starting balance of 0. Destination: C1509514333. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",2,high
C1556867940,Destination Balance Mismatch,TRANSFER,"Destination C1509514333 balance anomaly: expected 608,925.82 after receiving 209,711.11 but actual balance is 2,415.16 (difference: 606,510.66). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=209,711.11 from=C1556867940 to=C1509514333]",1,high
C1570470538,Extreme High-Value Transaction,CASH_OUT,"Single transaction of 56,953.90 exceeds 5x the high-value threshold (50,000). Type: CASH_OUT. From C1570470538 to C824009085. Extremely large transactions warrant immediate review.",1,"[step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",2,high
C1570470538,Sudden Type Change,PAYMENT -> CASH_OUT,"Abrupt transaction type change: PAYMENT -> CASH_OUT in consecutive transactions. Amounts: 13,875.98 -> 56,953.90. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=13,875.98 from=C484199463 to=M2008106788]; [step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",2,high
C1570470538,High-Value Account Drain,CASH_OUT,"Account C1570470538 was fully drained via CASH_OUT of 56,953.90. Previous balance: 1,942.02, new balance: 0. Complete account drainage through a high-value transaction is a strong fraud indicator.",1,"[step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",3,high
C1570470538,Destination Balance Mismatch,CASH_OUT,"Destination C824009085 balance anomaly: expected 127,206.90 after receiving 56,953.90 but actual balance is 64,106.18 (difference: 63,100.72). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=CASH_OUT amount=56,953.90 from=C1570470538 to=C824009085]",1,high
C1603696865,Repeated High-Value Transactions to Same Destination,CASH_OUT -> TRANSFER -> TRANSFER,"3 high-value transactions (>10000) sent to destination C766572210. Total amount: 915,506.55. Pattern: HIGH_VALUE -> HIGH_VALUE -> HIGH_VALUE. Senders: C1533123860, C873175411, C1603696865. Multiple large transfers to the same account suggest potential money aggregation or layering.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",3,high
C1603696865,Extreme High-Value Transaction,TRANSFER,"Single transaction of 554,026.99 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1603696865 to C766572210. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",2,high
C1603696865,Transfer Followed by Cash-Out (Same Destination),CASH_OUT -> TRANSFER -> TRANSFER,"Destination account C766572210 received 2 TRANSFER(s) totaling 778,633.63 and 1 CASH_OUT(s) totaling 136,872.92. Sequence: CASH_OUT -> TRANSFER -> TRANSFER. This pattern suggests funds are being moved through an intermediary account and then cashed out.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",3,high
C1603696865,Amount Spike vs Global Average,TRANSFER,"Transaction amount 554,026.99 is 4.8x the global average of 116,449.41 across all transaction types. While within norms for TRANSFER transactions, this amount is anomalous in the broader context.",1,"[step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",1,high
C1603696865,Rapid Burst to Same Destination,CASH_OUT -> TRANSFER -> TRANSFER,"3 transactions to destination C766572210 in a single time step (step 1). Total: 915,506.55. Types: CASH_OUT, TRANSFER, TRANSFER. Senders: C1533123860, C873175411, C1603696865. Rapid coordinated transfers may indicate smurfing or structuring.","1, 1, 1","[step=1 type=CASH_OUT amount=136,872.92 from=C1533123860 to=C766572210]; [step=1 type=TRANSFER amount=224,606.64 from=C873175411 to=C766572210]; [step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",1,high
C1603696865,Zero-Balance Origin Transfer,TRANSFER,"Account C1603696865 initiated a TRANSFER of 554,026.99 with a starting balance of 0. Destination: C766572210. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=554,026.99 from=C1603696865 to=C766572210]",2,high
C1670993182,Extreme High-Value Transaction,TRANSFER,"Single transaction of 215,310.30 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1670993182 to C1100439041. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=215,310.30 from=C1670993182 to=C1100439041]",2,high
C1670993182,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 671.64 -> 215,310.30. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=671.64 from=C2033524545 to=M473053293]; [step=1 type=TRANSFER amount=215,310.30 from=C1670993182 to=C1100439041]",2,high
C1670993182,High-Value Account Drain,TRANSFER,"Account C1670993182 was fully drained via TRANSFER of 215,310.30. Previous balance: 705.00, new balance: 0. Complete account drainage through a high-value transaction is a strong fraud indicator.",1,"[step=1 type=TRANSFER amount=215,310.30 from=C1670993182 to=C1100439041]",3,high
C1718906711,Extreme High-Value Transaction,CASH_OUT,"Single transaction of 94,253.33 exceeds 5x the high-value threshold (50,000). Type: CASH_OUT. From C1718906711 to C977993101. Extremely large transactions warrant immediate review.",1,"[step=1 type=CASH_OUT amount=94,253.33 from=C1718906711 to=C977993101]",2,high
C1718906711,High-Value Account Drain,CASH_OUT,"Account C1718906711 was fully drained via CASH_OUT of 94,253.33. Previous balance: 25,203.05, new balance: 0. Complete account drainage through a high-value transaction is a strong fraud indicator.",1,"[step=1 type=CASH_OUT amount=94,253.33 from=C1718906711 to=C977993101]",3,high
C1718906711,Destination Balance Mismatch,CASH_OUT,"Destination C977993101 balance anomaly: expected 194,026.33 after receiving 94,253.33 but actual balance is 965,870.05 (difference: 771,843.72). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=CASH_OUT amount=94,253.33 from=C1718906711 to=C977993101]",1,high
C1839168128,Extreme High-Value Transaction,TRANSFER,"Single transaction of 583,848.46 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1839168128 to C1286084959. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=583,848.46 from=C1839168128 to=C1286084959]",2,high
C1839168128,Amount Spike vs Global Average,TRANSFER,"Transaction amount 583,848.46 is 5.0x the global average of 116,449.41 across all transaction types. While within norms for TRANSFER transactions, this amount is anomalous in the broader context.",1,"[step=1 type=TRANSFER amount=583,848.46 from=C1839168128 to=C1286084959]",1,high
C1839168128,Zero-Balance Origin Transfer,TRANSFER,"Account C1839168128 initiated a TRANSFER of 583,848.46 with a starting balance of 0. Destination: C1286084959. Transactions from zero-balance accounts are highly suspicious and may indicate synthetic identity fraud or system manipulation.",1,"[step=1 type=TRANSFER amount=583,848.46 from=C1839168128 to=C1286084959]",2,high
C1839168128,Destination Balance Mismatch,TRANSFER,"Destination C1286084959 balance anomaly: expected 1,251,626.46 after receiving 583,848.46 but actual balance is 2,107,778.11 (difference: 856,151.65). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=583,848.46 from=C1839168128 to=C1286084959]",1,high
C1976401987,Extreme High-Value Transaction,TRANSFER,"Single transaction of 62,610.80 exceeds 5x the high-value threshold (50,000). Type: TRANSFER. From C1976401987 to C1937962514. Extremely large transactions warrant immediate review.",1,"[step=1 type=TRANSFER amount=62,610.80 from=C1976401987 to=C1937962514]",2,high
C1976401987,Sudden Type Change,PAYMENT -> TRANSFER,"Abrupt transaction type change: PAYMENT -> TRANSFER in consecutive transactions. Amounts: 2,252.44 -> 62,610.80. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=PAYMENT amount=2,252.44 from=C104716441 to=M1506951181]; [step=1 type=TRANSFER amount=62,610.80 from=C1976401987 to=C1937962514]",2,high
C1976401987,Sudden Type Change,TRANSFER -> DEBIT,"Abrupt transaction type change: TRANSFER -> DEBIT in consecutive transactions. Amounts: 62,610.80 -> 5,529.13. Time gap: 0 step(s). Sudden behavioral shifts in transaction flow may indicate account compromise or coordinated fraud.","1, 1","[step=1 type=TRANSFER amount=62,610.80 from=C1976401987 to=C1937962514]; [step=1 type=DEBIT amount=5,529.13 from=C867288517 to=C242131142]",2,high
C1976401987,Destination Balance Mismatch,TRANSFER,"Destination C1937962514 balance anomaly: expected 63,127.80 after receiving 62,610.80 but actual balance is 8,383.29 (difference: 54,744.51). Balance mismatches may indicate concurrent unauthorized withdrawals or system fraud.",1,"[step=1 type=TRANSFER amount=62,610.80 from=C1976401987 to=C1937962514]",1,high
